"region","sector_j","sector_name","fd_dom_hh","fd_dom_gov","fd_dom_id","fd_dom_idg","fd_xbr_hh","fd_xbr_gov","fd_xbr_id","fd_xbr_idg","d_new","d_old"
"Z2",19,"Chemicals",14.8401332451439,0.973999013195108,0,0.527712066202745,0,0,0,0,16.3418443245417,16.3418443245417
"Z2",20,"Rubber, Plastic Products",3.9449780720797,0.0662119920764393,0,0.483522523354052,0,0,0,0,4.49471258751019,4.49471258751019
"Z2",21,"Glass",0.465299557372761,0.00700975413162349,0,0.0823528002291345,0,0,0,0,0.554662111733519,0.554662111733519
"Z2",22,"Glass Re-processing",0.00822616070027641,3.32222180014123e-05,0,0.0010092621142328,0,0,0,0,0.00926864503251063,0.00926864503251063
"Z2",23,"Other Non-metallic Mineral Products",1.44221332852796,0.0162967238224696,0,0.144743410889872,0,0,0,0,1.6032534632403,1.6032534632403
"Z2",24,"Cement",0.078119920723252,0.0103877307417334,0,0.0495147805101938,0,0,0,0,0.138022431975179,0.138022431975179
"Z2",25,"Clinker Re-processing",0.0025854155868657,0.000117173066874073,0,0.00130595670481717,0,0,0,0,0.00400854535855694,0.00400854535855694
"Z2",26,"Metals",0.499969799654935,0.0531331043698064,0,1.31018269853763,0,0,0,0,1.86328560256238,1.86328560256238
"Z2",27,"Metals Re-processing",0.028533014364746,0.000378394399277201,0,0.0381318646976898,0,0,0,0,0.067043273461713,0.067043273461713
"Z2",28,"Durable Goods",48.3291368981568,1.0684858801063,0,75.5762569719907,0,0,0,0,124.973879750254,124.973879750254
"Z2",29,"Furniture",11.7258266283181,0.0703234237527574,0,3.37809269825835,0,0,0,0,15.1742427503292,15.1742427503292
"Z2",30,"Recycling",0.0631845996154943,0.00838256686914904,0,0.0573668911093373,0,0,0,0,0.128934057593981,0.128934057593981
"Z2",31,"Fossil-Fuel Electricity",8.45781907298753,0.67919097463693,0,0.0918736519551907,0,0,0,0,9.22888369957965,9.22888369957965
"Z2",32,"Renewable Electricity",1.39746734797291,0.138527440038991,0,0.0223719695122349,0,0,0,0,1.55836675752413,1.55836675752413
"Z2",33,"Energy Transmission, Distribution",7.08513544172114,0.672232245284054,0,0.195320645292853,0,0,0,0,7.95268833229805,7.95268833229805
"Z2",34,"Gas",4.23937240578754,0.0231697478880325,0,0.0428609921451487,0,0,0,0,4.30540314582072,4.30540314582072
"Z2",35,"Water",3.51237062847733,0.385187291465134,0,0.0659316228767638,0,0,0,0,3.96348954281922,3.96348954281922
"Z2",36,"Construction",2.16151193040622,0.364025365745663,0,103.171012703327,0,0,0,0,105.696549999479,105.696549999479
"Z2",37,"Construction Re-processing",0.000261874696180049,4.93628556339356e-06,0,0.00614340742213176,0,0,0,0,0.00641021840387521,0.00641021840387521
"Z2",38,"Vehicle Sale, Maintenance,  Repair",21.4607335777034,0.38405806089306,0,0.940070189787288,0,0,0,0,22.7848618283837,22.7848618283837
"Z2",39,"Vehicle Fuel Sale",0.361456246773126,0.0229926490404449,0,0.035583677546518,0,0,0,0,0.420032573360088,0.420032573360088
"Z2",40,"Retail, Wholesale Trade",31.6725272429594,3.74203819557656,0,5.12737291395925,0,0,0,0,40.5419383524952,40.5419383524952
"Z2",41,"Leisure",108.496355358326,5.78667168152843,0,0.551399561621774,0,0,0,0,114.834426601477,114.834426601477
"Z2",42,"Transport",50.569101568804,7.54591980769754,0,1.51625925415527,0,0,0,0,59.6312806306568,59.6312806306568
"Z2",43,"Professional Services",102.52682876115,8.46396761291764,0,18.1678592332743,0,0,0,0,129.158655607342,129.158655607342
"Z2",44,"Real Estate",129.039262694059,0.521345014508434,0,5.2124565118099,0,0,0,0,134.773064220377,134.773064220377
