"region","sector","impact","total_value","output","unit","value"
"RoW","Retail & Wholesale trade","Emissions",107673780713.131,51528,"ton GHG per million USD output",4.7855661479263e-07
"RoW","Retail & Wholesale trade","Extraction",100497.955711617,51528,"ton per million USD output",0.512726847378485
"RoW","Retail & Wholesale trade","Land",14756.872682049,51528,"ha per million USD output",3.49179674516547
"RoW","Retail & Wholesale trade","Water",2804.567732998,51528,"ton per million USD output",18.3728848455794
"RoW","Retail sale of automotive fuel","Emissions",26131561538.9463,25731,"ton GHG per million USD output",9.84671350835682e-07
"RoW","Retail sale of automotive fuel","Extraction",4032.892991845,25731,"ton per million USD output",6.38028334796664
"RoW","Retail sale of automotive fuel","Land",2944.387776774,25731,"ha per million USD output",8.73899837615547
"RoW","Retail sale of automotive fuel","Water",29.847613412,25731,"ton per million USD output",862.07897579024
"RoW","Sale, maintenance, repair of motor vehicles, motor vehicles parts, motorcycles, motor cycles parts and accessoiries","Emissions",18582386749.59,25709,"ton GHG per million USD output",1.38351441859681e-06
"RoW","Sale, maintenance, repair of motor vehicles, motor vehicles parts, motorcycles, motor cycles parts and accessoiries","Extraction",10489.043017104,25709,"ton per million USD output",2.45103389871483
"RoW","Sale, maintenance, repair of motor vehicles, motor vehicles parts, motorcycles, motor cycles parts and accessoiries","Land",3301.850162977,25709,"ha per million USD output",7.78624066236257
"RoW","Sale, maintenance, repair of motor vehicles, motor vehicles parts, motorcycles, motor cycles parts and accessoiries","Water",145.179564624,25709,"ton per million USD output",177.084151385793
"RoW","Transmission & Distribution","Emissions",46210112278.3961,51485,"ton GHG per million USD output",1.11415007368571e-06
"RoW","Transmission & Distribution","Extraction",12870.5642544027,51485,"ton per million USD output",4.00021312060101
"RoW","Transmission & Distribution","Land",9779.74934883,51485,"ha per million USD output",5.26444985076835
"RoW","Transmission & Distribution","Water",28.851998647,51485,"ton per million USD output",1784.45176813958
"RoW","Transport","Emissions",1807700959463.43,181195,"ton GHG per million USD output",1.00235052181298e-07
"RoW","Transport","Extraction",97299.7049872348,181195,"ton per million USD output",1.86223586211049
"RoW","Transport","Land",27015.049911453,181195,"ha per million USD output",6.70718731203168
"RoW","Transport","Water",537.741923211,181195,"ton per million USD output",336.955316628536
"RoW","Waste water","Emissions",605620678271.514,51600,"ton GHG per million USD output",8.52018463888489e-08
