"input_region","input_sector","input_num","output_region","output_sector","value","output_num","input_label","output_label"
"EU","Agriculture",1,"RoW","Plastics,.basic",2.4423039924022e-05,17,"Agriculture","Plastics"
"EU","Agriculture",1,"RoW","Re-processing.of.secondary.plastic.into.new.plastic",9.13346869830892e-05,18,"Agriculture","Plastics Re-processing"
"EU","Agriculture",1,"RoW","Manufacture.of.Chemicals",0.00100186423944772,19,"Agriculture","Chemicals"
"EU","Agriculture",1,"RoW","Manufacture.of.rubber.and.plastic.products.(25)",2.44680879612113e-06,20,"Agriculture","Rubber, Plastic Products"
"EU","Agriculture",1,"RoW","Manufacture.of.glass.and.glass.products",2.0089722690453e-05,21,"Agriculture","Glass"
"EU","Agriculture",1,"RoW","Re-processing.of.secondary.glass.into.new.glass",1.38652609585186e-05,22,"Agriculture","Glass Re-processing"
"EU","Agriculture",1,"RoW","Manufacture.of.other.non-metallic.mineral.products",2.22944290449693e-05,23,"Agriculture","Other Non-metallic Mineral Products"
"EU","Agriculture",1,"RoW","Manufacture.of.cement,.lime.and.plaster",2.33698504227099e-05,24,"Agriculture","Cement"
"EU","Agriculture",1,"RoW","Re-processing.of.ash.into.clinker",1.33464987686955e-05,25,"Agriculture","Clinker Re-processing"
"EU","Agriculture",1,"RoW","Manufacture.of.Metals",8.65239493281976e-05,26,"Agriculture","Metals"
"EU","Agriculture",1,"RoW","Re-processing.of.Metals",8.89123294442517e-06,27,"Agriculture","Metals Re-processing"
"EU","Agriculture",1,"RoW","Manufacture.of.durable.goods",1.12337473249687e-05,28,"Agriculture","Durable Goods"
"EU","Agriculture",1,"RoW","Manufacture.of.furniture;.manufacturing.n.e.c..(36)",1.877795824417e-05,29,"Agriculture","Furniture"
"EU","Agriculture",1,"RoW","Recycling",0.000135920839669337,30,"Agriculture","Recycling"
"EU","Agriculture",1,"RoW","Production.of.electricity.by.fossil.fuels",0.000134741275895906,31,"Agriculture","Fossil-Fuel Electricity"
"EU","Agriculture",1,"RoW","Production.of.electricity.by.renewable.energy",0.000151892509506341,32,"Agriculture","Renewable Electricity"
"EU","Agriculture",1,"RoW","Transmission.&.Distribution",0.000108778030157339,33,"Agriculture","Energy Transmission, Distribution"
"EU","Agriculture",1,"RoW","Manufacture.of.gas;.distribution.of.gaseous.fuels.through.mains",0.000504330193611953,34,"Agriculture","Gas"
"EU","Agriculture",1,"RoW","Water",1.51773894133056e-05,35,"Agriculture","Water"
"EU","Agriculture",1,"RoW","Construction.(45)",3.69555012114136e-05,36,"Agriculture","Construction"
"EU","Agriculture",1,"RoW","Re-processing.of.secondary.construction.material.into.aggregates",1.14682421802761e-06,37,"Agriculture","Construction Re-processing"
"EU","Agriculture",1,"RoW","Sale,.maintenance,.repair.of.motor.vehicles,.motor.vehicles.parts,.motorcycles,.motor.cycles.parts.and.accessoiries",3.36415550298633e-05,38,"Agriculture","Vehicle Sale, Maintenance,  Repair"
"EU","Agriculture",1,"RoW","Retail.sale.of.automotive.fuel",0.000881885919250006,39,"Agriculture","Vehicle Fuel Sale"
"EU","Agriculture",1,"RoW","Retail.&.Wholesale.trade",3.84274063476438e-05,40,"Agriculture","Retail, Wholesale Trade"
"EU","Agriculture",1,"RoW","Leisure.Services",0.00022327253170646,41,"Agriculture","Leisure"
"EU","Agriculture",1,"RoW","Transport",3.0728516976945e-05,42,"Agriculture","Transport"
"EU","Agriculture",1,"RoW","KIBS",5.06121151039283e-05,43,"Agriculture","Professional Services"
"EU","Agriculture",1,"RoW","Real.estate.activities.(70)",8.65777329594294e-05,44,"Agriculture","Real Estate"
"EU","Agriculture",1,"RoW","Renting.of.machinery.and.equipment.without.operator.and.of.personal.and.household.goods.(71)",0.000233978632539071,45,"Agriculture","Machine, Equipment Renting"
"EU","Agriculture",1,"RoW","Research.and.development.(73)",7.74247319888762e-05,46,"Agriculture","R&D"
"EU","Agriculture",1,"RoW","Public.administration.and.defence;.compulsory.social.security.(75)",1.68496081779587e-05,47,"Agriculture","Public Administration, Defence"
"EU","Agriculture",1,"RoW","Education.(80)",0.000132340271559182,48,"Agriculture","Education"
"EU","Agriculture",1,"RoW","Health.and.social.work.(85)",0.000110473328919256,49,"Agriculture","Health, Social Work"
"EU","Agriculture",1,"RoW","Incineration.of.Waste",1.93649691446504e-06,50,"Agriculture","Waste Incineration"
