"row","col"
"EU.Construction (45)","EU.Manufacture.of.wood.and.of.products.of.wood.and.cork,.except.furniture;.manufacture.of.articles.of.straw.and.plaiting.materials.(20)"
"EU.Re-processing of secondary construction material into aggregates","EU.Manufacture.of.wood.and.of.products.of.wood.and.cork,.except.furniture;.manufacture.of.articles.of.straw.and.plaiting.materials.(20)"
"EU.Agriculture","EU.Manufacture.of.rubber.and.plastic.products.(25)"
"EU.Animal Farming","EU.Manufacture.of.rubber.and.plastic.products.(25)"
"EU.Forestry, logging and related service activities (02)","EU.Manufacture.of.rubber.and.plastic.products.(25)"
"EU.Fishing, operating of fish hatcheries and fish farms; service activities incidental to fishing (05)","EU.Manufacture.of.rubber.and.plastic.products.(25)"
"EU.Extraction of Fossil-Fuels","EU.Manufacture.of.rubber.and.plastic.products.(25)"
"EU.Mining & Quarrying of raw materials","EU.Manufacture.of.rubber.and.plastic.products.(25)"
"EU.Processing of meat","EU.Manufacture.of.rubber.and.plastic.products.(25)"
"EU.Processing of other food&beverage","EU.Manufacture.of.rubber.and.plastic.products.(25)"
"EU.Manufacture of tobacco products (16)","EU.Manufacture.of.rubber.and.plastic.products.(25)"
"EU.Manufacture of textiles","EU.Manufacture.of.rubber.and.plastic.products.(25)"
"EU.Manufacture of wood and of products of wood and cork, except furniture; manufacture of articles of straw and plaiting materials (20)","EU.Manufacture.of.rubber.and.plastic.products.(25)"
"EU.Re-processing of secondary wood material into new wood material","EU.Manufacture.of.rubber.and.plastic.products.(25)"
"EU.Pulp","EU.Manufacture.of.rubber.and.plastic.products.(25)"
"EU.Re-processing of secondary paper into new pulp","EU.Manufacture.of.rubber.and.plastic.products.(25)"
"EU.Paper","EU.Manufacture.of.rubber.and.plastic.products.(25)"
"EU.Processing of Fossil Fuels","EU.Manufacture.of.rubber.and.plastic.products.(25)"
"EU.Plastics, basic","EU.Manufacture.of.rubber.and.plastic.products.(25)"
"EU.Re-processing of secondary plastic into new plastic","EU.Manufacture.of.rubber.and.plastic.products.(25)"
"EU.Manufacture of Chemicals","EU.Manufacture.of.rubber.and.plastic.products.(25)"
"EU.Manufacture of rubber and plastic products (25)","EU.Manufacture.of.rubber.and.plastic.products.(25)"
"EU.Manufacture of glass and glass products","EU.Manufacture.of.rubber.and.plastic.products.(25)"
"EU.Re-processing of secondary glass into new glass","EU.Manufacture.of.rubber.and.plastic.products.(25)"
"EU.Manufacture of other non-metallic mineral products","EU.Manufacture.of.rubber.and.plastic.products.(25)"
"EU.Manufacture of cement, lime and plaster","EU.Manufacture.of.rubber.and.plastic.products.(25)"
"EU.Re-processing of ash into clinker","EU.Manufacture.of.rubber.and.plastic.products.(25)"
"EU.Manufacture of Metals","EU.Manufacture.of.rubber.and.plastic.products.(25)"
"EU.Re-processing of Metals","EU.Manufacture.of.rubber.and.plastic.products.(25)"
"EU.Manufacture of durable goods","EU.Manufacture.of.rubber.and.plastic.products.(25)"
"EU.Manufacture of furniture; manufacturing n.e.c. (36)","EU.Manufacture.of.rubber.and.plastic.products.(25)"
"EU.Recycling","EU.Manufacture.of.rubber.and.plastic.products.(25)"
"EU.Production of electricity by fossil fuels","EU.Manufacture.of.rubber.and.plastic.products.(25)"
"EU.Production of electricity by renewable energy","EU.Manufacture.of.rubber.and.plastic.products.(25)"
"EU.Transmission & Distribution","EU.Manufacture.of.rubber.and.plastic.products.(25)"
"EU.Manufacture of gas; distribution of gaseous fuels through mains","EU.Manufacture.of.rubber.and.plastic.products.(25)"
"EU.Water","EU.Manufacture.of.rubber.and.plastic.products.(25)"
"EU.Construction (45)","EU.Manufacture.of.rubber.and.plastic.products.(25)"
"EU.Re-processing of secondary construction material into aggregates","EU.Manufacture.of.rubber.and.plastic.products.(25)"
"EU.Agriculture","EU.Manufacture.of.glass.and.glass.products"
"EU.Animal Farming","EU.Manufacture.of.glass.and.glass.products"
"EU.Forestry, logging and related service activities (02)","EU.Manufacture.of.glass.and.glass.products"
"EU.Fishing, operating of fish hatcheries and fish farms; service activities incidental to fishing (05)","EU.Manufacture.of.glass.and.glass.products"
"EU.Extraction of Fossil-Fuels","EU.Manufacture.of.glass.and.glass.products"
"EU.Mining & Quarrying of raw materials","EU.Manufacture.of.glass.and.glass.products"
"EU.Processing of meat","EU.Manufacture.of.glass.and.glass.products"
"EU.Processing of other food&beverage","EU.Manufacture.of.glass.and.glass.products"
"EU.Manufacture of tobacco products (16)","EU.Manufacture.of.glass.and.glass.products"
"EU.Manufacture of textiles","EU.Manufacture.of.glass.and.glass.products"
"EU.Manufacture of wood and of products of wood and cork, except furniture; manufacture of articles of straw and plaiting materials (20)","EU.Manufacture.of.glass.and.glass.products"
"EU.Re-processing of secondary wood material into new wood material","EU.Manufacture.of.glass.and.glass.products"
"EU.Pulp","EU.Manufacture.of.glass.and.glass.products"
"EU.Re-processing of secondary paper into new pulp","EU.Manufacture.of.glass.and.glass.products"
"EU.Paper","EU.Manufacture.of.glass.and.glass.products"
"EU.Processing of Fossil Fuels","EU.Manufacture.of.glass.and.glass.products"
"EU.Plastics, basic","EU.Manufacture.of.glass.and.glass.products"
"EU.Re-processing of secondary plastic into new plastic","EU.Manufacture.of.glass.and.glass.products"
"EU.Manufacture of Chemicals","EU.Manufacture.of.glass.and.glass.products"
"EU.Manufacture of rubber and plastic products (25)","EU.Manufacture.of.glass.and.glass.products"
"EU.Manufacture of glass and glass products","EU.Manufacture.of.glass.and.glass.products"
"EU.Re-processing of secondary glass into new glass","EU.Manufacture.of.glass.and.glass.products"
"EU.Manufacture of other non-metallic mineral products","EU.Manufacture.of.glass.and.glass.products"
"EU.Manufacture of cement, lime and plaster","EU.Manufacture.of.glass.and.glass.products"
"EU.Re-processing of ash into clinker","EU.Manufacture.of.glass.and.glass.products"
"EU.Manufacture of Metals","EU.Manufacture.of.glass.and.glass.products"
"EU.Re-processing of Metals","EU.Manufacture.of.glass.and.glass.products"
"EU.Manufacture of durable goods","EU.Manufacture.of.glass.and.glass.products"
"EU.Manufacture of furniture; manufacturing n.e.c. (36)","EU.Manufacture.of.glass.and.glass.products"
"EU.Recycling","EU.Manufacture.of.glass.and.glass.products"
"EU.Production of electricity by fossil fuels","EU.Manufacture.of.glass.and.glass.products"
"EU.Production of electricity by renewable energy","EU.Manufacture.of.glass.and.glass.products"
"EU.Transmission & Distribution","EU.Manufacture.of.glass.and.glass.products"
"EU.Manufacture of gas; distribution of gaseous fuels through mains","EU.Manufacture.of.glass.and.glass.products"
"EU.Water","EU.Manufacture.of.glass.and.glass.products"
"EU.Construction (45)","EU.Manufacture.of.glass.and.glass.products"
"EU.Re-processing of secondary construction material into aggregates","EU.Manufacture.of.glass.and.glass.products"
"EU.Agriculture","EU.Manufacture.of.durable.goods"
"EU.Animal Farming","EU.Manufacture.of.durable.goods"
"EU.Forestry, logging and related service activities (02)","EU.Manufacture.of.durable.goods"
"EU.Fishing, operating of fish hatcheries and fish farms; service activities incidental to fishing (05)","EU.Manufacture.of.durable.goods"
"EU.Extraction of Fossil-Fuels","EU.Manufacture.of.durable.goods"
"EU.Mining & Quarrying of raw materials","EU.Manufacture.of.durable.goods"
"EU.Processing of meat","EU.Manufacture.of.durable.goods"
"EU.Processing of other food&beverage","EU.Manufacture.of.durable.goods"
"EU.Manufacture of tobacco products (16)","EU.Manufacture.of.durable.goods"
"EU.Manufacture of textiles","EU.Manufacture.of.durable.goods"
"EU.Manufacture of wood and of products of wood and cork, except furniture; manufacture of articles of straw and plaiting materials (20)","EU.Manufacture.of.durable.goods"
"EU.Re-processing of secondary wood material into new wood material","EU.Manufacture.of.durable.goods"
"EU.Pulp","EU.Manufacture.of.durable.goods"
"EU.Re-processing of secondary paper into new pulp","EU.Manufacture.of.durable.goods"
"EU.Paper","EU.Manufacture.of.durable.goods"
"EU.Processing of Fossil Fuels","EU.Manufacture.of.durable.goods"
"EU.Plastics, basic","EU.Manufacture.of.durable.goods"
"EU.Re-processing of secondary plastic into new plastic","EU.Manufacture.of.durable.goods"
"EU.Manufacture of Chemicals","EU.Manufacture.of.durable.goods"
"EU.Manufacture of rubber and plastic products (25)","EU.Manufacture.of.durable.goods"
"EU.Manufacture of glass and glass products","EU.Manufacture.of.durable.goods"
"EU.Re-processing of secondary glass into new glass","EU.Manufacture.of.durable.goods"
"EU.Manufacture of other non-metallic mineral products","EU.Manufacture.of.durable.goods"
"EU.Manufacture of cement, lime and plaster","EU.Manufacture.of.durable.goods"
"EU.Re-processing of ash into clinker","EU.Manufacture.of.durable.goods"
"EU.Manufacture of Metals","EU.Manufacture.of.durable.goods"
"EU.Re-processing of Metals","EU.Manufacture.of.durable.goods"
"EU.Manufacture of durable goods","EU.Manufacture.of.durable.goods"
"EU.Manufacture of furniture; manufacturing n.e.c. (36)","EU.Manufacture.of.durable.goods"
"EU.Recycling","EU.Manufacture.of.durable.goods"
"EU.Production of electricity by fossil fuels","EU.Manufacture.of.durable.goods"
"EU.Production of electricity by renewable energy","EU.Manufacture.of.durable.goods"
"EU.Transmission & Distribution","EU.Manufacture.of.durable.goods"
"EU.Manufacture of gas; distribution of gaseous fuels through mains","EU.Manufacture.of.durable.goods"
"EU.Water","EU.Manufacture.of.durable.goods"
"EU.Construction (45)","EU.Manufacture.of.durable.goods"
"EU.Re-processing of secondary construction material into aggregates","EU.Manufacture.of.durable.goods"
"EU.Agriculture","EU.Manufacture.of.furniture;.manufacturing.n.e.c..(36)"
"EU.Animal Farming","EU.Manufacture.of.furniture;.manufacturing.n.e.c..(36)"
"EU.Forestry, logging and related service activities (02)","EU.Manufacture.of.furniture;.manufacturing.n.e.c..(36)"
"EU.Fishing, operating of fish hatcheries and fish farms; service activities incidental to fishing (05)","EU.Manufacture.of.furniture;.manufacturing.n.e.c..(36)"
"EU.Extraction of Fossil-Fuels","EU.Manufacture.of.furniture;.manufacturing.n.e.c..(36)"
"EU.Mining & Quarrying of raw materials","EU.Manufacture.of.furniture;.manufacturing.n.e.c..(36)"
"EU.Processing of meat","EU.Manufacture.of.furniture;.manufacturing.n.e.c..(36)"
"EU.Processing of other food&beverage","EU.Manufacture.of.furniture;.manufacturing.n.e.c..(36)"
"EU.Manufacture of tobacco products (16)","EU.Manufacture.of.furniture;.manufacturing.n.e.c..(36)"
"EU.Manufacture of textiles","EU.Manufacture.of.furniture;.manufacturing.n.e.c..(36)"
"EU.Manufacture of wood and of products of wood and cork, except furniture; manufacture of articles of straw and plaiting materials (20)","EU.Manufacture.of.furniture;.manufacturing.n.e.c..(36)"
"EU.Re-processing of secondary wood material into new wood material","EU.Manufacture.of.furniture;.manufacturing.n.e.c..(36)"
"EU.Pulp","EU.Manufacture.of.furniture;.manufacturing.n.e.c..(36)"
"EU.Re-processing of secondary paper into new pulp","EU.Manufacture.of.furniture;.manufacturing.n.e.c..(36)"
"EU.Paper","EU.Manufacture.of.furniture;.manufacturing.n.e.c..(36)"
"EU.Processing of Fossil Fuels","EU.Manufacture.of.furniture;.manufacturing.n.e.c..(36)"
"EU.Plastics, basic","EU.Manufacture.of.furniture;.manufacturing.n.e.c..(36)"
"EU.Re-processing of secondary plastic into new plastic","EU.Manufacture.of.furniture;.manufacturing.n.e.c..(36)"
"EU.Manufacture of Chemicals","EU.Manufacture.of.furniture;.manufacturing.n.e.c..(36)"
"EU.Manufacture of rubber and plastic products (25)","EU.Manufacture.of.furniture;.manufacturing.n.e.c..(36)"
"EU.Manufacture of glass and glass products","EU.Manufacture.of.furniture;.manufacturing.n.e.c..(36)"
"EU.Re-processing of secondary glass into new glass","EU.Manufacture.of.furniture;.manufacturing.n.e.c..(36)"
"EU.Manufacture of other non-metallic mineral products","EU.Manufacture.of.furniture;.manufacturing.n.e.c..(36)"
"EU.Manufacture of cement, lime and plaster","EU.Manufacture.of.furniture;.manufacturing.n.e.c..(36)"
"EU.Re-processing of ash into clinker","EU.Manufacture.of.furniture;.manufacturing.n.e.c..(36)"
"EU.Manufacture of Metals","EU.Manufacture.of.furniture;.manufacturing.n.e.c..(36)"
"EU.Re-processing of Metals","EU.Manufacture.of.furniture;.manufacturing.n.e.c..(36)"
