EU,EU,EU,EU,RoW,RoW,RoW,RoW
Consumption category,Consumption category,Consumption category,Consumption category,Consumption category,Consumption category,Consumption category,Consumption category
Consumption,Final consumption expenditure by government,GFCF,Exports: Total (fob),Consumption,Final consumption expenditure by government,GFCF,Exports: Total (fob)
0.0000709772181278,0.0017449057133725,0.0002328251266587,,0.0001656447113767,0.0005071817978698,0.0005396244910466,
0.0000108351402929,0.0000719438181239,0.0000214506271689,,0.0000095928798468,0.0000041664433900,0.0000254241980585,
0.0005002756910825,0.0029941876789098,0.0002748290624140,,0.0141161336373038,0.0013775439833391,0.0022696435313039,
0.0013031039653681,0.0000108494484156,0.0003739883407849,,0.0037441534180707,0.0000925129407906,0.0019650858584545,
0.0000042597881962,0.0000018794383723,0.0000362810572469,,0.0004626025560401,0.0000102814938210,0.0003517911357243,
0.0000003014765908,0.0000000650374858,0.0000017954426502,,0.0000019921611961,0.0000000062689454,0.0000021976084911,
0.0005569324046872,0.0000049770041077,0.0000855885449708,,0.0013391091415335,0.0000235661874462,0.0006151600102431,
0.0000103506945672,0.0000021831498972,0.0000200026964197,,0.0000716398262472,0.0000145847007030,0.0002032990629685,
0.0000004340831648,0.0000001263228044,0.0000013174044813,,0.0000012322953442,0.0000000119331830,0.0000030611889705,
0.0000585729552024,0.0000143263652987,0.0007134318054412,,0.0004872894808288,0.0000759860772599,0.0055271870159943,
0.0000036120274144,0.0000006016614667,0.0000327731995988,,0.0000160420246583,0.0000001005231318,0.0000991285304218,
0.0099850309389593,0.0009459154716060,0.0569915670151298,,0.0444496880902072,0.0014624046873023,0.2997955941259380,
0.0024643854013383,0.0000197109436088,0.0019909417241389,,0.0113661641597197,0.0000994409538318,0.0142158336285568,
0.0000075894912892,0.0000032420653034,0.0000396214504775,,0.0000611204409257,0.0000119796015991,0.0002422386874224,
0.0000160755827613,0.0000133522086982,0.0000353967577727,,0.0086919323636637,0.0010053975950042,0.0003761669781635,
0.0000062559554370,0.0000029239758252,0.0000111806792732,,0.0014362437721048,0.0002050560878477,0.0000936579244860,
0.0000126788543913,0.0000202095923606,0.0000349211559725,,0.0072799921310004,0.0009947237850850,0.0008204828189182,
0.0000038120092736,0.0000042288171055,0.0000067500997643,,0.0043581815550741,0.0000340860445406,0.0001775444837679,
0.0000046149339357,0.0000031630707463,0.0000363492986877,,0.0036062722662813,0.0005673688543733,0.0002728804122671,
0.0000526979779757,0.0000107948606818,0.0030242718929570,,0.0021816875357629,0.0005365142405642,0.4472235732973720,
0.0000000095636400,0.0000000006211367,0.0000005875442751,,0.0000002048151796,0.0000000002497136,0.0000244314525868,
0.0000774606872124,0.0000064475990523,0.0001910926418111,,0.0219706611170026,0.0005674391142783,0.0039944178294749,
0.0000070970320644,0.0000016483679840,0.0000152447281670,,0.0003679648888388,0.0000338188397105,0.0001516001380061,
0.0007396536265857,0.0003605851350996,0.0006342447845213,,0.0316972641337682,0.0054902625764459,0.0216315675449247,
0.0111723760293172,0.0002897588972055,0.0001974923820906,,0.1072880630112970,0.0085530263643186,0.0023201744465976,
0.0080519144075664,0.0012656880896497,0.0003173501321481,,0.0502791890350014,0.0110366511047967,0.0064024700764785,
0.0027149424350826,0.0001997941967241,0.0063289880417370,,0.1039418082732760,0.0122403415809815,0.0766074062061463,
0.0020810878195587,0.0000027818132403,0.0000581541940397,,0.1320896251493840,0.0007703633356431,0.0225851580065123,
0.0000301476949263,0.0000025042277757,0.0000054684395190,,0.0087461406142889,0.0001328242778214,0.0000959062969351,
0.0002258203939341,0.0012631821858198,0.0000110604036573,,0.0023970646048276,0.0219195352240303,0.0021625029283475,
0.0000807103591934,0.0022555808457536,0.0000309655422999,,0.0523315046814952,0.5667971523817980,0.0010152623250819,
0.0002088570908798,0.0010794426537556,0.0000081417242283,,0.0297669302031923,0.1415422699875990,0.0003539077370555,
0.0004520480294833,0.0015147127645612,0.0000111933110926,,0.0862627101526337,0.1991773506812480,0.0011464435770493,
0.0000202057131437,0.0000151115173592,0.0000006042453893,,0.0007536617433109,0.0007440654456075,0.0000084441859499,
0.0000176910047718,0.0000152463193292,0.0000006990571275,,0.0003766391528850,0.0005860059175297,0.0000138242313489,
0.0000178141362857,0.0000158932091236,0.0000003650118197,,0.0029711633155856,0.0076161037800682,0.0000307723685159,
0.0000641962182860,0.0000648068157383,0.0000092740258417,,0.0037767840088260,0.0023180224348685,0.0000777647005034,
0.0002310176532753,0.0000781422256691,0.0000158080860929,,0.0417888327272759,0.0028905870248135,0.0007482059946352,
1.0000000000000000,1.0000000000000000,1.0000000000000000,,1.0000000000000000,1.0000000000000000,1.0000000000000000,
