,,,Sector,Sector,Sector,Sector,Sector,Sector,Sector,Sector,Sector,Sector,Sector,Sector,Sector,Sector,Sector,Sector,Sector,Sector,Sector,Sector,Sector,Sector,Sector,Sector,Sector,Sector,Sector,Sector,Sector,Sector,Sector,Sector,Sector,Sector,Sector,Sector,Sector,Sector,Sector,Sector,Sector,Sector,Sector,Sector,Sector,Sector,Sector,Sector,Sector,Sector,Sector,Sector,Sector,Sector,Sector,Sector,Sector,Sector,Sector,Sector,Sector,Sector,Sector,Sector,Sector,Sector,Sector,Sector,Sector,Sector,Sector,Sector,Sector,Sector,Sector,Sector,Sector,Sector,Sector,Sector,Sector,Sector,Sector,Sector,Sector,Sector,Sector,Sector,Sector,Sector,Sector,Sector,Sector,Sector,Sector,Sector,Sector,Sector,Sector,Sector,Sector,Sector,Sector,Sector,Sector,Sector,Sector,Sector,Consumption category,Consumption category,Consumption category,Consumption category,Consumption category,Consumption category,Consumption category,Consumption category,,,,
,,,Agriculture,Animal Farming,"Forestry, logging and related service activities (02)","Fishing, operating of fish hatcheries and fish farms; service activities incidental to fishing (05)",Extraction of Fossil-Fuels,Mining & Quarrying of raw materials,Processing of meat,Processing of other food&beverage,Manufacture of tobacco products (16),Manufacture of textiles,"Manufacture of wood and of products of wood and cork, except furniture; manufacture of articles of straw and plaiting materials (20)",Re-processing of secondary wood material into new wood material,Pulp,Re-processing of secondary paper into new pulp,Paper,Processing of Fossil Fuels,"Plastics, basic",Re-processing of secondary plastic into new plastic,Manufacture of Chemicals,Manufacture of rubber and plastic products (25),Manufacture of glass and glass products,Re-processing of secondary glass into new glass,Manufacture of other non-metallic mineral products,"Manufacture of cement, lime and plaster",Re-processing of ash into clinker,Manufacture of Metals,Re-processing of Metals,Manufacture of durable goods,Manufacture of furniture; manufacturing n.e.c. (36),Recycling,Production of electricity by fossil fuels,Production of electricity by renewable energy,Transmission & Distribution,Manufacture of gas; distribution of gaseous fuels through mains,Water,Construction (45),Re-processing of secondary construction material into aggregates,"Sale, maintenance, repair of motor vehicles, motor vehicles parts, motorcycles, motor cycles parts and accessoiries",Retail sale of automotive fuel,Retail & Wholesale trade,Leisure Services,Transport,KIBS,Real estate activities (70),Renting of machinery and equipment without operator and of personal and household goods (71),Research and development (73),Public administration and defence; compulsory social security (75),Education (80),Health and social work (85),Incineration of Waste,Biogas & Composting,Waste water,Landfill of Waste,Other Services,Agriculture,Animal Farming,"Forestry, logging and related service activities (02)","Fishing, operating of fish hatcheries and fish farms; service activities incidental to fishing (05)",Extraction of Fossil-Fuels,Mining & Quarrying of raw materials,Processing of meat,Processing of other food&beverage,Manufacture of tobacco products (16),Manufacture of textiles,"Manufacture of wood and of products of wood and cork, except furniture; manufacture of articles of straw and plaiting materials (20)",Re-processing of secondary wood material into new wood material,Pulp,Re-processing of secondary paper into new pulp,Paper,Processing of Fossil Fuels,"Plastics, basic",Re-processing of secondary plastic into new plastic,Manufacture of Chemicals,Manufacture of rubber and plastic products (25),Manufacture of glass and glass products,Re-processing of secondary glass into new glass,Manufacture of other non-metallic mineral products,"Manufacture of cement, lime and plaster",Re-processing of ash into clinker,Manufacture of Metals,Re-processing of Metals,Manufacture of durable goods,Manufacture of furniture; manufacturing n.e.c. (36),Recycling,Production of electricity by fossil fuels,Production of electricity by renewable energy,Transmission & Distribution,Manufacture of gas; distribution of gaseous fuels through mains,Water,Construction (45),Re-processing of secondary construction material into aggregates,"Sale, maintenance, repair of motor vehicles, motor vehicles parts, motorcycles, motor cycles parts and accessoiries",Retail sale of automotive fuel,Retail & Wholesale trade,Leisure Services,Transport,KIBS,Real estate activities (70),Renting of machinery and equipment without operator and of personal and household goods (71),Research and development (73),Public administration and defence; compulsory social security (75),Education (80),Health and social work (85),Incineration of Waste,Biogas & Composting,Waste water,Landfill of Waste,Other Services,Consumption,Final consumption expenditure by government,GFCF,Exports: Total (fob),Consumption,Final consumption expenditure by government,GFCF,Exports: Total (fob),,,,
EU,Sector,KIBS,0.058,0.045,0.038,0.058,0.054,0.060,0.062,0.085,0.082,0.066,0.041,0.054,0.063,0.103,0.097,0.037,0.090,0.078,0.083,0.052,0.060,0.085,0.060,0.061,0.071,0.043,0.052,0.062,0.062,0.089,0.061,0.058,0.048,0.103,0.075,0.075,0.014,0.049,0.166,0.060,0.063,0.051,0.270,0.119,0.124,0.152,0.096,0.039,0.060,0.136,0.118,0.111,0.104,0.085,0.000,0.000,0.000,0.001,0.001,0.001,0.000,0.001,0.001,0.003,0.001,0.001,0.001,0.003,0.001,0.001,0.001,0.003,0.002,0.001,0.001,0.003,0.001,0.001,0.003,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.000,0.001,0.001,0.002,0.000,0.001,0.006,0.002,0.001,0.002,0.006,0.002,0.004,0.003,0.003,0.001,0.002,0.002,0.002,0.004,0.001,0.002,0.101,0.009,0.105,,0.001,0.000,0.002,,0.471,0.018,0.058,
EU,Sector,Real estate activities (70),0.003,0.003,0.003,0.003,0.002,0.006,0.006,0.006,0.006,0.010,0.007,0.011,0.006,0.010,0.010,0.001,0.002,0.004,0.009,0.006,0.009,0.014,0.007,0.008,0.008,0.005,0.004,0.007,0.009,0.009,0.004,0.005,0.005,0.007,0.005,0.015,0.001,0.013,0.035,0.019,0.019,0.006,0.025,0.024,0.019,0.024,0.018,0.009,0.014,0.010,0.009,0.009,0.007,0.018,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.001,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.170,0.010,0.019,,0.001,0.000,0.000,,0.061,0.022,0.025,
EU,Sector,Renting of machinery and equipment without operator and of personal and household goods (71),0.006,0.010,0.004,0.004,0.006,0.008,0.004,0.005,0.002,0.006,0.005,0.005,0.004,0.009,0.009,0.002,0.006,0.009,0.031,0.005,0.002,0.003,0.008,0.008,0.007,0.003,0.003,0.005,0.005,0.007,0.006,0.004,0.005,0.009,0.007,0.010,0.005,0.003,0.004,0.005,0.007,0.011,0.010,0.001,0.073,0.014,0.005,0.003,0.005,0.018,0.016,0.012,0.008,0.007,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.001,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.003,0.000,0.002,,0.000,0.000,0.000,,0.033,0.001,0.003,
EU,Sector,Research and development (73),0.001,0.001,0.001,0.001,0.002,0.002,0.001,0.001,0.002,0.003,0.001,0.001,0.003,0.003,0.002,0.001,0.009,0.007,0.054,0.005,0.000,0.001,0.005,0.003,0.002,0.002,0.002,0.009,0.004,0.002,0.001,0.001,0.001,0.001,0.001,0.001,0.000,0.000,0.000,0.001,0.000,0.000,0.002,0.000,0.001,0.043,0.008,0.002,0.001,0.001,0.001,0.002,0.002,0.001,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.001,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.001,0.001,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.003,0.013,0.001,,0.000,0.000,0.000,,0.016,0.001,0.002,
EU,Sector,Public administration and defence; compulsory social security (75),0.002,0.002,0.005,0.003,0.003,0.003,0.002,0.003,0.003,0.002,0.004,0.002,0.006,0.007,0.003,0.002,0.004,0.003,0.006,0.002,0.006,0.010,0.002,0.002,0.002,0.005,0.004,0.002,0.002,0.005,0.004,0.005,0.004,0.033,0.006,0.003,0.000,0.001,0.003,0.001,0.002,0.003,0.004,0.003,0.003,0.005,0.010,0.005,0.002,0.015,0.016,0.013,0.012,0.003,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.007,0.338,0.003,,0.000,0.001,0.000,,0.016,0.017,0.016,
EU,Sector,Education (80),0.001,0.001,0.002,0.002,0.001,0.001,0.001,0.001,0.002,0.001,0.001,0.001,0.002,0.002,0.002,0.001,0.002,0.002,0.004,0.001,0.001,0.002,0.001,0.001,0.001,0.001,0.001,0.002,0.001,0.001,0.001,0.001,0.001,0.002,0.001,0.001,0.000,0.001,0.007,0.001,0.002,0.001,0.003,0.001,0.001,0.014,0.005,0.019,0.003,0.001,0.001,0.003,0.003,0.002,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.020,0.192,0.000,,0.000,0.000,0.000,,0.010,0.011,0.011,
EU,Sector,Health and social work (85),0.000,0.000,0.001,0.001,0.000,0.001,0.000,0.001,0.000,0.000,0.000,0.000,0.000,0.001,0.000,0.000,0.001,0.001,0.001,0.000,0.001,0.001,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.001,0.001,0.000,0.000,0.001,0.001,0.000,0.001,0.000,0.001,0.000,0.000,0.002,0.003,0.003,0.030,0.000,0.001,0.001,0.001,0.001,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.057,0.281,0.001,,0.000,0.000,0.000,,0.009,0.020,0.019,
EU,Sector,Incineration of Waste,0.002,0.003,0.000,0.000,0.002,0.003,0.001,0.002,0.000,0.002,0.003,0.003,0.011,0.016,0.001,0.002,0.007,0.004,0.001,0.001,0.001,0.002,0.003,0.003,0.003,0.010,0.006,0.001,0.001,0.007,0.002,0.002,0.002,0.001,0.005,0.001,0.000,0.001,0.000,0.001,0.001,0.001,0.001,0.002,0.000,0.001,0.004,0.001,0.001,0.057,0.059,0.046,0.051,0.001,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.001,0.000,0.000,0.000,0.004,0.001,0.000,,0.000,0.000,0.000,,0.009,0.001,0.001,
EU,Sector,Biogas & Composting,0.001,0.001,0.000,0.000,0.001,0.001,0.000,0.001,0.000,0.001,0.001,0.001,0.004,0.007,0.000,0.001,0.002,0.002,0.000,0.001,0.001,0.001,0.001,0.001,0.001,0.003,0.002,0.000,0.000,0.002,0.001,0.001,0.001,0.001,0.002,0.000,0.000,0.001,0.000,0.000,0.000,0.000,0.000,0.001,0.000,0.000,0.002,0.000,0.000,0.023,0.036,0.021,0.026,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.001,0.001,0.000,,0.000,0.000,0.000,,0.003,0.000,0.000,
EU,Sector,Waste water,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.001,0.002,0.003,0.000,0.000,0.001,0.001,0.000,0.000,0.000,0.001,0.001,0.001,0.001,0.002,0.001,0.000,0.000,0.001,0.000,0.000,0.000,0.000,0.002,0.001,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.001,0.000,0.000,0.009,0.011,0.012,0.017,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.001,0.000,0.000,,0.000,0.000,0.000,,0.002,0.000,0.000,
EU,Sector,Landfill of Waste,0.001,0.000,0.000,0.001,0.001,0.001,0.000,0.001,0.001,0.001,0.001,0.001,0.004,0.004,0.001,0.001,0.002,0.002,0.000,0.001,0.001,0.001,0.001,0.001,0.002,0.005,0.004,0.000,0.000,0.003,0.001,0.001,0.001,0.001,0.004,0.001,0.000,0.001,0.000,0.001,0.001,0.000,0.000,0.001,0.000,0.001,0.002,0.000,0.000,0.024,0.032,0.036,0.055,0.001,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.001,0.001,0.000,,0.000,0.000,0.000,,0.005,0.000,0.001,
EU,Sector,Other Services,0.006,0.001,0.011,0.002,0.009,0.005,0.001,0.003,0.020,0.004,0.003,0.001,0.002,0.001,0.002,0.001,0.001,0.001,0.009,0.001,0.002,0.001,0.002,0.001,0.002,0.001,0.001,0.001,0.002,0.001,0.001,0.001,0.001,0.002,0.003,0.001,0.002,0.001,0.001,0.000,0.002,0.001,0.002,0.001,0.003,0.002,0.001,0.001,0.003,0.005,0.004,0.004,0.002,0.023,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.049,0.002,0.000,,0.002,0.000,0.000,,0.009,0.007,0.007,
RoW,Sector,Agriculture,0.005,0.031,0.010,0.001,0.000,0.000,0.007,0.022,0.096,0.004,0.000,0.001,0.000,0.001,0.000,0.001,0.001,0.002,0.001,0.000,0.000,0.000,0.000,0.000,0.000,0.001,0.001,0.000,0.000,0.000,0.000,0.001,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.001,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.001,0.000,0.000,0.000,0.000,0.000,0.087,0.080,0.024,0.003,0.002,0.002,0.055,0.231,0.175,0.026,0.019,0.001,0.034,0.000,0.007,0.001,0.054,0.002,0.025,0.002,0.001,0.000,0.002,0.001,0.000,0.001,0.000,0.000,0.001,0.006,0.001,0.002,0.001,0.005,0.002,0.004,0.000,0.001,0.017,0.001,0.015,0.001,0.001,0.001,0.002,0.003,0.001,0.002,0.004,0.001,0.000,0.001,0.004,0.005,0.005,0.000,0.001,,0.028,0.002,0.003,,0.225,0.014,0.032,
RoW,Sector,Animal Farming,0.001,0.001,0.000,0.000,0.000,0.000,0.001,0.001,0.002,0.000,0.000,0.000,0.000,0.000,0.000,0.001,0.000,0.001,0.001,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.001,0.133,0.004,0.004,0.001,0.002,0.245,0.025,0.004,0.011,0.001,0.000,0.003,0.000,0.001,0.001,0.001,0.000,0.007,0.002,0.001,0.000,0.001,0.001,0.000,0.001,0.000,0.000,0.007,0.006,0.001,0.001,0.001,0.003,0.002,0.001,0.000,0.000,0.011,0.001,0.010,0.004,0.000,0.000,0.002,0.003,0.001,0.002,0.001,0.001,0.001,0.004,0.003,0.002,0.000,0.000,0.000,,0.008,0.001,0.008,,0.129,0.006,0.016,
RoW,Sector,"Forestry, logging and related service activities (02)",0.000,0.000,0.004,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.004,0.000,0.005,0.000,0.001,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.001,0.000,0.106,0.000,0.001,0.000,0.001,0.002,0.002,0.001,0.201,0.002,0.063,0.001,0.022,0.000,0.000,0.000,0.004,0.011,0.000,0.001,0.000,0.000,0.000,0.000,0.000,0.000,0.005,0.002,0.000,0.000,0.000,0.000,0.000,0.003,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.001,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,,0.002,0.000,0.001,,0.034,0.001,0.004,
RoW,Sector,"Fishing, operating of fish hatcheries and fish farms; service activities incidental to fishing (05)",0.000,0.000,0.000,0.005,0.000,0.000,0.002,0.002,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.001,0.000,0.021,0.000,0.000,0.150,0.002,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.001,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.002,0.000,0.005,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.001,0.000,0.000,0.000,0.000,0.000,0.001,0.000,0.000,,0.002,0.000,0.000,,0.047,0.001,0.005,
RoW,Sector,Extraction of Fossil-Fuels,0.002,0.001,0.000,0.001,0.091,0.003,0.001,0.001,0.001,0.008,0.008,0.005,0.008,0.002,0.001,0.542,0.011,0.004,0.037,0.005,0.011,0.002,0.007,0.005,0.002,0.009,0.002,0.001,0.009,0.001,0.082,0.007,0.001,0.066,0.019,0.000,0.000,0.000,0.000,0.001,0.000,0.001,0.000,0.000,0.000,0.001,0.001,0.000,0.001,0.000,0.000,0.001,0.001,0.000,0.002,0.001,0.001,0.001,0.084,0.011,0.001,0.001,0.002,0.010,0.012,0.022,0.020,0.004,0.003,0.595,0.088,0.005,0.041,0.016,0.005,0.005,0.034,0.112,0.024,0.018,0.003,0.002,0.014,0.002,0.178,0.003,0.001,0.120,0.010,0.003,0.004,0.001,0.005,0.001,0.001,0.005,0.001,0.001,0.001,0.004,0.002,0.002,0.002,0.001,0.002,0.002,0.002,0.002,0.000,0.000,0.009,,0.003,0.000,0.020,,0.419,0.006,0.042,
RoW,Sector,Mining & Quarrying of raw materials,0.001,0.001,0.000,0.001,0.000,0.006,0.001,0.001,0.000,0.000,0.000,0.000,0.001,0.002,0.000,0.001,0.003,0.004,0.006,0.001,0.010,0.001,0.011,0.003,0.006,0.045,0.006,0.000,0.003,0.001,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.001,0.002,0.002,0.002,0.002,0.087,0.002,0.001,0.002,0.001,0.002,0.000,0.007,0.002,0.002,0.002,0.005,0.005,0.027,0.008,0.051,0.003,0.065,0.076,0.026,0.127,0.019,0.002,0.006,0.008,0.002,0.003,0.002,0.004,0.004,0.017,0.000,0.000,0.008,0.001,0.001,0.001,0.001,0.001,0.001,0.002,0.001,0.001,0.001,0.001,0.002,0.002,0.005,0.002,0.000,0.000,0.001,,0.001,0.000,0.004,,0.149,0.001,0.014,
RoW,Sector,Processing of meat,0.000,0.004,0.000,0.002,0.000,0.000,0.012,0.016,0.000,0.001,0.000,0.000,0.000,0.001,0.000,0.000,0.001,0.002,0.001,0.000,0.000,0.000,0.001,0.000,0.000,0.000,0.000,0.000,0.000,0.001,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.002,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.001,0.000,0.000,0.000,0.000,0.000,0.001,0.020,0.001,0.011,0.000,0.002,0.102,0.038,0.002,0.015,0.001,0.000,0.002,0.002,0.001,0.001,0.003,0.004,0.012,0.000,0.001,0.001,0.002,0.001,0.005,0.000,0.000,0.001,0.003,0.008,0.001,0.002,0.000,0.001,0.001,0.000,0.000,0.000,0.006,0.001,0.023,0.001,0.000,0.000,0.003,0.002,0.003,0.004,0.009,0.001,0.001,0.001,0.000,0.003,0.001,0.000,0.000,,0.032,0.001,0.002,,0.099,0.015,0.022,
RoW,Sector,Processing of other food&beverage,0.000,0.005,0.000,0.001,0.000,0.001,0.004,0.007,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.001,0.001,0.002,0.000,0.001,0.000,0.001,0.000,0.001,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.002,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.001,0.126,0.005,0.012,0.000,0.004,0.024,0.146,0.002,0.003,0.001,0.001,0.002,0.005,0.002,0.000,0.002,0.007,0.007,0.009,0.002,0.003,0.005,0.002,0.021,0.001,0.000,0.000,0.002,0.003,0.001,0.001,0.000,0.000,0.000,0.001,0.000,0.000,0.004,0.001,0.035,0.001,0.000,0.000,0.001,0.004,0.002,0.002,0.007,0.000,0.001,0.001,0.001,0.005,0.003,0.000,0.000,,0.051,0.002,0.003,,0.144,0.024,0.035,
RoW,Sector,Manufacture of tobacco products (16),0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.001,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.041,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.001,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,,0.006,0.000,0.000,,0.003,0.003,0.003,
RoW,Sector,Manufacture of textiles,0.001,0.000,0.001,0.004,0.000,0.000,0.000,0.000,0.001,0.049,0.000,0.001,0.001,0.002,0.001,0.000,0.001,0.001,0.002,0.003,0.001,0.001,0.001,0.000,0.000,0.000,0.000,0.001,0.004,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.001,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.001,0.000,0.001,0.001,0.001,0.001,0.002,0.001,0.002,0.005,0.001,0.003,0.001,0.001,0.004,0.354,0.005,0.000,0.002,0.001,0.012,0.000,0.001,0.001,0.009,0.016,0.005,0.008,0.004,0.002,0.001,0.002,0.000,0.004,0.038,0.006,0.002,0.004,0.000,0.002,0.001,0.003,0.000,0.000,0.004,0.001,0.002,0.002,0.001,0.001,0.002,0.021,0.003,0.001,0.005,0.004,0.003,0.005,0.003,0.007,0.010,0.000,0.000,,0.028,0.000,0.003,,0.174,0.014,0.028,
RoW,Sector,"Manufacture of wood and of products of wood and cork, except furniture; manufacture of articles of straw and plaiting materials (20)",0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.014,0.019,0.002,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.001,0.001,0.001,0.000,0.000,0.000,0.000,0.000,0.004,0.000,0.000,0.000,0.000,0.000,0.000,0.001,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.002,0.001,0.000,0.001,0.001,0.001,0.003,0.000,0.137,0.122,0.093,0.002,0.006,0.000,0.000,0.001,0.001,0.001,0.002,0.006,0.002,0.001,0.001,0.001,0.000,0.001,0.025,0.002,0.000,0.001,0.000,0.001,0.000,0.019,0.000,0.000,0.001,0.000,0.001,0.001,0.000,0.001,0.001,0.001,0.001,0.000,0.000,0.000,0.001,0.000,0.000,0.001,0.000,0.000,0.000,,0.001,0.000,0.002,,0.049,0.001,0.005,
RoW,Sector,Re-processing of secondary wood material into new wood material,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.001,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.005,0.072,0.003,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.005,0.000,0.000,0.000,0.000,0.000,0.000,0.003,0.000,0.000,0.000,0.000,0.000,0.000,0.001,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,,0.000,0.000,0.000,,0.003,0.000,0.000,
